N,alpha,ax,az,n_eff,vx,vx_scaled,vz,vz_scaled
500,0.01,0.3,1.0,0.002262650172951685,0.7542167243172283,0.22626501729516849,0.9977373498270483,0.9977373498270483
500,0.01,1.0,1.0,0.005010556946642659,0.5010556946642658,0.5010556946642658,0.9949894430533573,0.9949894430533573
500,0.01,10.0,1.0,0.009092027301650133,0.09092027301650132,0.9092027301650132,0.9909079726983498,0.9909079726983498
500,0.01148153621496883,0.3,1.0,0.0023405431051856454,0.7801810350618817,0.2340543105185645,0.9976594568948144,0.9976594568948144
500,0.01148153621496883,1.0,1.0,0.004918930631049648,0.4918930631049648,0.4918930631049648,0.9950810693689504,0.9950810693689504
500,0.01148153621496883,10.0,1.0,0.009068988900112457,0.09068988900112457,0.9068988900112457,0.9909310110998876,0.9909310110998876
500,0.013182567385564075,0.3,1.0,0.00276554767281554,0.7682076868932056,0.23046230606796167,0.9972344523271844,0.9972344523271844
500,0.013182567385564075,1.0,1.0,0.005997313836449792,0.4997761530374827,0.4997761530374827,0.9940026861635503,0.9940026861635503
500,0.013182567385564075,10.0,1.0,0.010934175993513123,0.09111813327927604,0.9111813327927604,0.9890658240064869,0.9890658240064869
500,0.01513561248436208,0.3,1.0,0.0031610563398408553,0.7526324618668704,0.2257897385600611,0.9968389436601591,0.9968389436601591
500,0.01513561248436208,1.0,1.0,0.006913329727236493,0.4938092662311781,0.4938092662311781,0.9930866702727635,0.9930866702727635
500,0.01513561248436208,10.0,1.0,0.01269636556300241,0.0906883254500172,0.906883254500172,0.9873036344369976,0.9873036344369976
500,0.017378008287493755,0.3,1.0,0.0035454037587145768,0.738625783065537,0.22158773491966108,0.9964545962412854,0.9964545962412854
500,0.017378008287493755,1.0,1.0,0.007869068098439042,0.4918167561524401,0.4918167561524401,0.992130931901561,0.992130931901561
500,0.017378008287493755,10.0,1.0,0.014553639290753708,0.09096024556721068,0.9096024556721067,0.9854463607092463,0.9854463607092463
500,0.0199526231496888,0.3,1.0,0.004186565234087023,0.7752898581642635,0.23258695744927904,0.995813434765913,0.995813434765913
500,0.0199526231496888,1.0,1.0,0.00903800202811914,0.5021112237843968,0.5021112237843968,0.9909619979718809,0.9909619979718809
500,0.0199526231496888,10.0,1.0,0.01631379566846568,0.09063219815814268,0.9063219815814267,0.9836862043315343,0.9836862043315343
500,0.022908676527677724,0.3,1.0,0.00495477497516399,0.7507234810854531,0.2252170443256359,0.995045225024836,0.995045225024836
500,0.022908676527677724,1.0,1.0,0.01098036795190638,0.49910763417756276,0.49910763417756276,0.9890196320480936,0.9890196320480936
500,0.022908676527677724,10.0,1.0,0.019990656652178536,0.09086662114626608,0.9086662114626608,0.9800093433478214,0.9800093433478214
500,0.026302679918953815,0.3,1.0,0.005811485360712279,0.7450622257323436,0.22351866771970308,0.9941885146392877,0.9941885146392877
500,0.026302679918953815,1.0,1.0,0.013080838006068723,0.5031091540795662,0.5031091540795662,0.9869191619939313,0.9869191619939313
500,0.026302679918953815,10.0,1.0,0.023603087852966637,0.09078110712679476,0.9078110712679476,0.9763969121470334,0.9763969121470334
500,0.03019951720402016,0.3,1.0,0.006914892392500368,0.7683213769444853,0.2304964130833456,0.9930851076074997,0.9930851076074997
500,0.03019951720402016,1.0,1.0,0.014843765745312517,0.49479219151041726,0.49479219151041726,0.9851562342546875,0.9851562342546875
500,0.03019951720402016,10.0,1.0,0.027184165159449446,0.09061388386483149,0.9061388386483149,0.9728158348405506,0.9728158348405506
500,0.034673685045253165,0.3,1.0,0.007798061540780902,0.7645158373314609,0.22935475119943827,0.9922019384592191,0.9922019384592191
500,0.034673685045253165,1.0,1.0,0.016649286201140437,0.4896848882688363,0.4896848882688363,0.9833507137988595,0.9833507137988595
500,0.034673685045253165,10.0,1.0,0.030846606081836984,0.09072531200540289,0.9072531200540289,0.969153393918163,0.969153393918163
500,0.039810717055349734,0.3,1.0,0.008630694197463143,0.7570784383739599,0.22712353151218798,0.9913693058025369,0.9913693058025369
500,0.039810717055349734,1.0,1.0,0.01905246841526046,0.5013807477700122,0.5013807477700122,0.9809475315847396,0.9809475315847396
500,0.039810717055349734,10.0,1.0,0.03436543486682028,0.09043535491268495,0.9043535491268495,0.9656345651331797,0.9656345651331797
500,0.04570881896148749,0.3,1.0,0.0100332549018442,0.7600950683215304,0.2280285204964591,0.9899667450981559,0.9899667450981559
500,0.04570881896148749,1.0,1.0,0.021693093551136598,0.4930248534349227,0.4930248534349227,0.9783069064488634,0.9783069064488634
