A,A_dual,I,I_dual,alpha,ax,az,mx,mz,source,tau_x,tau_z,vx,vz
0.9310993630577644,-0.8311495914140103,0.08778894179066238,-0.4122110582093376,2.0,0.1,1.0,0.22125934932996782,0.15564767342151453,empirical,0.9994977164375403,1,0.7782383671075724,0.8443523265784855
0.9373585179809454,-0.8115292105555993,0.10740932264907338,-0.3925906773509266,2.0,0.12589254117941673,1.0,0.261387608062042,0.1858451144272123,empirical,0.9994977164375403,1,0.7381101083754983,0.8141548855727877
0.9466168249231806,-0.788207112256952,0.13073142094772078,-0.3692685790522792,2.0,0.15848931924611134,1.0,0.30561083203134687,0.21994731988668548,empirical,0.9994977164375403,1,0.6938868844061934,0.7800526801133145
0.9601650013571059,-0.7607389886065784,0.15819954459809432,-0.3418004554019057,2.0,0.19952623149688797,1.0,0.3533811546931164,0.2578344053451824,empirical,0.9994977164375403,1,0.6461165617444239,0.7421655946548176
0.9797669576213048,-0.7287044823968781,0.1902340508077946,-0.3097659491922054,2.0,0.251188643150958,1.0,0.40391156984136045,0.29920895208600395,empirical,0.9994977164375403,1,0.5955861465961798,0.700791047913996
1.0077966336403656,-0.6917277036323913,0.2272108295722814,-0.2727891704277186,2.0,0.31622776601683794,1.0,0.45622197593805036,0.34359774749859406,empirical,0.9994977164375403,1,0.5432757404994899,0.6564022525014059
1.0474036885810407,-0.6494964807154098,0.26944205248926295,-0.23055794751073705,2.0,0.3981071705534973,1.0,0.5092127627277117,0.3903719113727445,empirical,0.9994977164375403,1,0.49028495370982855,0.6096280886272555
1.1027138330750041,-0.6017783375568975,0.31716019564777526,-0.18283980435222474,2.0,0.5011872336272724,1.0,0.5617541629173894,0.4387829612538725,empirical,0.9994977164375403,1,0.4377435535201508,0.5612170387461275
1.1790720715533607,-0.5484316465759129,0.3705068866287598,-0.1294931133712402,2.0,0.6309573444801934,1.0,0.6127762503163989,0.4880094986345649,empirical,0.9994977164375403,1,0.3867214661211414,0.5119905013654351
1.2833403703154316,-0.4894111136066498,0.4295274195980228,-0.07047258040197718,2.0,0.7943282347242815,1.0,0.6613454028792446,0.5372078605933854,empirical,0.9994977164375403,1,0.33815231355829567,0.46279213940661457
1.4242652274361505,-0.4247675109986102,0.4941710222060625,-0.005828977793937484,2.0,1.0,1.0,0.7067174936309446,0.5855604456131914,empirical,0.9994977164375403,1,0.2927802228065957,0.4144395543868086
1.6129352897467726,-0.354642215493312,0.5642963177113605,0.06429631771136046,2.0,1.2589254117941675,1.0,0.7483640819386537,0.6323170284537537,empirical,0.9994977164375403,1,0.25113363449888665,0.3676829715462463
1.8633546542267885,-0.2792575275645022,0.6396810056401709,0.13968100564017094,2.0,1.584893192461114,1.0,0.7859734012216657,0.6768264672211213,empirical,0.9994977164375403,1,0.21352431521587453,0.3231735327788787
2.1931640626879405,-0.19890393518266514,0.7200345980220075,0.22003459802200753,2.0,1.9952623149688797,1.0,0.8194316470149101,0.7185580850470878,empirical,0.9994977164375403,1,0.1800660694226301,0.28144191495291215
2.624550239837246,-0.11392548759297805,0.8050130456116951,0.30501304561169507,2.0,2.511886431509581,1.0,0.8487916030189813,0.7571132828832444,empirical,0.9994977164375403,1,0.15070611341855894,0.24288671711675558
3.1853936399435416,-0.024704339863798275,0.8942341933408744,0.3942341933408744,2.0,3.1622776601683795,1.0,0.8742353847297654,0.7922285464401957,empirical,0.9994977164375403,1,0.1252623317077749,0.2077714535598043
3.9107174634804944,0.06835461517581543,0.9872931483804877,0.48729314838048765,2.0,3.981071705534973,1.0,0.8960367402867406,0.8237711295619546,empirical,0.9994977164375403,1,0.10346097615079969,0.17622887043804536
4.844516700927346,0.16483825425372167,1.0837767874583952,0.5837767874583952,2.0,5.011872336272725,1.0,0.9145266165767321,0.8517286095501031,empirical,0.9994977164375403,1,0.08497109986080816,0.1482713904498969
6.042066019133818,0.264338230640659,1.1832767638453316,0.6832767638453316,2.0,6.309573444801933,1.0,0.9300640635893802,0.8761934643726934,empirical,0.9994977164375403,1,0.06943365284816004,0.12380653562730659
7.572830588474209,0.3664619786136125,1.285400511818286,0.7854005118182861,2.0,7.943282347242818,1.0,0.9430132621745214,0.897343936882164,empirical,0.9994977164375403,1,0.05648445426301885,0.10265606311783604
9.524135792377104,0.4708413719982989,1.3897799052029716,0.8897799052029716,2.0,10.0,1.0,0.9537265819585493,0.9154226895798186,empirical,0.9994977164375403,1,0.045771134478990935,0.08457731042018135
0.9431065105278336,-0.7821475117330978,0.1367910214715749,-0.3632089785284251,2.0,0.1,1.1220184543019633,0.28946928598532584,0.2353117628146878,empirical,0.9994977164375403,1,0.7100284304522144,0.7646882371853122
0.9510478707576955,-0.7642093361813678,0.15472919702330495,-0.34527080297669505,2.0,0.12589254117941673,1.1220184543019633,0.3232963418809113,0.2604911460816328,empirical,0.9994977164375403,1,0.676201374556629,0.7395088539183672
0.9622132795033842,-0.7427943396861739,0.1761441935184988,-0.3238558064815012,2.0,0.15848931924611134,1.1220184543019633,0.3609324188307198,0.2891485533788217,empirical,0.9994977164375403,1,0.6385652976068205,0.7108514466211783
0.977888991218709,-0.7174537513171997,0.20148478188747293,-0.29851521811252707,2.0,0.19952623149688797,1.1220184543019633,0.4020020687448138,0.32125190344222354,empirical,0.9994977164375403,1,0.5974956476927265,0.6787480965577765
0.9998243806858496,-0.6877526783104411,0.23118585489423155,-0.26881414510576845,2.0,0.251188643150958,1.1220184543019633,0.4459071031633469,0.35661606347624397,empirical,0.9994977164375403,1,0.5535906132741933,0.643383936523756
