N,alpha,ax,az,n_eff,vx,vx_scaled,vz,vz_scaled
500,0.3,0.001,1.0,0.00029929840556537293,0.9976613518845765,0.0009976613518845765,0.9997007015944346,0.9997007015944346
500,0.3,0.0013182567385564075,1.0,0.00039516732734641016,0.9992169096973447,0.001317224424488034,0.9996048326726535,0.9996048326726535
500,0.3,0.0017378008287493763,1.0,0.0005238505705769132,1.0048151316893756,0.0017461685685897107,0.9994761494294231,0.9994761494294231
500,0.3,0.0022908676527677724,1.0,0.0006882672111993415,1.0014651150009959,0.0022942240373311387,0.9993117327888007,0.9993117327888007
500,0.3,0.003019951720402016,1.0,0.0009045479391037499,0.9984132450339708,0.0030151597970124997,0.9990954520608962,0.9990954520608962
500,0.3,0.003981071705534973,1.0,0.0011968890720803196,1.0021498067268821,0.003989630240267733,0.9988031109279197,0.9988031109279197
500,0.3,0.005248074602497723,1.0,0.0015652349865476318,0.9941645937494152,0.005217449955158772,0.9984347650134524,0.9984347650134524
500,0.3,0.006918309709189363,1.0,0.0020521978762119103,0.9887761425723413,0.006840659587373034,0.9979478021237881,0.9979478021237881
500,0.3,0.009120108393559097,1.0,0.0026978766857163623,0.9860543205903438,0.008992922285721208,0.9973021233142836,0.9973021233142836
500,0.3,0.012022644346174132,1.0,0.0035843781950652565,0.9937853081952208,0.011947927316884188,0.9964156218049347,0.9964156218049347
500,0.3,0.015848931924611134,1.0,0.004682067075104531,0.9847282027953668,0.015606890250348436,0.9953179329248955,0.9953179329248955
500,0.3,0.020892961308540386,1.0,0.006058852646919861,0.9666497339215054,0.020196175489732873,0.9939411473530801,0.9939411473530801
500,0.3,0.02754228703338166,1.0,0.008010832311338145,0.9695191375633764,0.026702774371127152,0.9919891676886619,0.9919891676886619
500,0.3,0.03630780547701014,1.0,0.010349544733881173,0.9501671057512631,0.03449848244627058,0.9896504552661188,0.9896504552661188
500,0.3,0.047863009232263824,1.0,0.013595800088351113,0.9468550840152332,0.04531933362783705,0.9864041999116488,0.9864041999116488
500,0.3,0.0630957344480193,1.0,0.017353247196750667,0.9167681116408347,0.05784415732250222,0.9826467528032493,0.9826467528032493
500,0.3,0.08317637711026708,1.0,0.022555566074581365,0.9039251631377424,0.07518522024860455,0.9774444339254187,0.9774444339254187
500,0.3,0.1096478196143185,1.0,0.02870563275767295,0.8726616075189269,0.09568544252557651,0.9712943672423271,0.9712943672423271
500,0.3,0.1445439770745928,1.0,0.03668310568879348,0.8459502874999983,0.12227701896264494,0.9633168943112065,0.9633168943112065
500,0.3,0.19054607179632463,1.0,0.04614165391563047,0.8071828067728671,0.15380551305210158,0.9538583460843695,0.9538583460843695
500,0.3,0.25118864315095796,1.0,0.05746026897164768,0.7625115033181857,0.19153422990549226,0.9425397310283523,0.9425397310283523
