A,A_dual,I,I_dual,alpha,ax,az,mx,mz,source,tau_x,tau_z,vx,vz
0.9270152611502824,-0.8470554438352792,0.07188308936939353,-0.4281169106306065,2.0,0.08,1,0.18655886995577553,0.1300702154370823,empirical,0.9994977164375403,1,0.8129388464817647,0.8699297845629177
0.9470799440267896,-0.7871603093967832,0.13177822380788956,-0.36822177619211044,2.0,0.16,1,0.3075135351228092,0.2214349380207139,empirical,0.9994977164375403,1,0.691984181314731,0.7785650619792861
0.9753042882196961,-0.7354248362746865,0.18351369692998626,-0.31648630307001374,2.0,0.24,1,0.39373766828594237,0.29076482311276697,empirical,0.9994977164375403,1,0.6057600481515979,0.709235176887233
1.0095227534857079,-0.6896834842256949,0.2292550489789778,-0.2707449510210222,2.0,0.32,1,0.45894407731119147,0.3459543290408633,empirical,0.9994977164375403,1,0.5405536391263488,0.6540456709591367
1.0483685746079112,-0.6485694880328952,0.27036904517177757,-0.22963095482822243,2.0,0.4,1,0.5103034767260393,0.39135539176920076,empirical,0.9994977164375403,1,0.489194239711501,0.6086446082307992
1.0909144939882875,-0.6111555900982683,0.30778294310640447,-0.19221705689359553,2.0,0.48,1,0.5519830051999347,0.4296141227881013,empirical,0.9994977164375403,1,0.44751471123760556,0.5703858772118987
1.1364980570949492,-0.5767793358899266,0.34215919731474603,-0.15784080268525397,2.0,0.56,1,0.5865918726206896,0.46245454507487294,empirical,0.9994977164375403,1,0.41290584381685075,0.5375454549251271
1.1846271680234848,-0.544948629503459,0.3739899037012138,-0.12601009629878618,2.0,0.64,1,0.6158575809476572,0.4910593734270503,empirical,0.9994977164375403,1,0.383640135489883,0.5089406265729497
1.234924934272169,-0.5152865784371401,0.40365195476753263,-0.09634804523246737,2.0,0.72,1,0.640974685948664,0.5162731639039818,empirical,0.9994977164375403,1,0.3585230304888763,0.4837268360960182
1.2870954934774388,-0.48749732032740645,0.43144121287726606,-0.06855878712273394,2.0,0.8,1,0.6627985407755518,0.5387186810591816,empirical,0.9994977164375403,1,0.3366991756619885,0.46128131894081836
1.340901823032909,-0.4613438325678736,0.45759470063679913,-0.042405299363200866,2.0,0.88,1,0.6819594223182026,0.5588673976500342,empirical,0.9994977164375403,1,0.31753829411933765,0.44113260234996576
1.3961507694221231,-0.43663296164208454,0.4823055715625882,-0.017694428437411813,2.0,0.96,1,0.6989330335097443,0.577084191221368,empirical,0.9994977164375403,1,0.30056468292779587,0.422915808778632
1.4526826221667126,-0.4132049970716707,0.505733536133002,0.005733536133001982,2.0,1.04,1,0.7140858086360999,0.5936567682269959,empirical,0.9994977164375403,1,0.2854119078014403,0.40634323177300413
1.5103636550064679,-0.3909262125964226,0.5280123206082501,0.028012320608250152,2.0,1.12,1,0.7277050118303822,0.6088156583200343,empirical,0.9994977164375403,1,0.2717927046071581,0.39118434167996574
1.5690806654569602,-0.36968340573191183,0.5492551274727606,0.04925512747276062,2.0,1.2,1,0.7400193104721963,0.6227481743168255,empirical,0.9994977164375403,1,0.259478405965344,0.3772518256831745
1.6287368966242437,-0.3493798195841922,0.5695587136204805,0.0695587136204805,2.0,1.28,1,0.751213188936216,0.63560839040339,empirical,0.9994977164375403,1,0.2482845275013242,0.36439160959661
1.689248937554745,-0.32993204319969016,0.5890064900049825,0.08900649000498251,2.0,1.36,1,0.7614372671367986,0.6475244220980173,empirical,0.9994977164375403,1,0.23806044930074163,0.3524755779019827
1.7505443305752066,-0.31126761890514865,0.607670914299524,0.10767091429952402,2.0,1.44,1,0.7708158294296057,0.6586038345828514,empirical,0.9994977164375403,1,0.22868188700793454,0.34139616541714857
1.8125596987329406,-0.29332316974787953,0.6256153634567934,0.12561536345679336,2.0,1.52,1,0.7794524119222359,0.6689377257265253,empirical,0.9994977164375403,1,0.22004530451530438,0.3310622742734747
1.8752392620595766,-0.2760429157595121,0.6428956174451603,0.14289561744516033,2.0,1.6,1,0.7874340122970269,0.6786038532496427,empirical,0.9994977164375403,1,0.21206370414051331,0.3213961467503573
1.9385336487490876,-0.25937748513402004,0.6595610480706526,0.15956104807065263,2.0,1.68,1,0.7948343054126934,0.6876690610434855,empirical,0.9994977164375403,1,0.20466341102484686,0.31233093895651454
2.0023989329612846,-0.24328295203121364,0.675655581173459,0.17565558117345903,2.0,1.76,1,0.8017161300946505,0.6961911839269719,empirical,0.9994977164375403,1,0.19778158634288973,0.3038088160730281
2.066795848850708,-0.2277200506056336,0.6912184825990386,0.19121848259903862,2.0,1.84,1,0.8081334341007018,0.7042205589995654,empirical,0.9994977164375403,1,0.19136428233683841,0.29577944100043463
2.1316891431186398,-0.2126535275585626,0.7062850056461101,0.20628500564611008,2.0,1.92,1,0.814132811074779,0.7118012365930031,empirical,0.9994977164375403,1,0.18536490536276123,0.2881987634069969
2.19704703753534,-0.19805160466025962,0.720886928544413,0.22088692854441305,2.0,2.0,1,0.8197547266254634,0.7189719592483075,empirical,0.9994977164375403,1,0.17974298981207687,0.2810280407516925
2.262840779563253,-0.18388552937316893,0.7350530038315037,0.23505300383150374,2.0,2.08,1,0.8250345049709092,0.725766959701185,empirical,0.9994977164375403,1,0.174463211466631,0.274233040298815
2.3290442641560927,-0.17012919665100545,0.7488093365536672,0.24880933655366722,2.0,2.16,1,0.8300031293298714,0.7322166163051296,empirical,0.9994977164375403,1,0.16949458710766888,0.2677833836948704
2.3956337135089143,-0.15675882868882374,0.7621797045158489,0.26217970451584893,2.0,2.24,1,0.8346878960869953,0.7383479951704415,empirical,0.9994977164375403,1,0.16480982035054495,0.2616520048295585
