A,A_dual,I,I_dual,alpha,ax,az,mx,mz,source,tau_x,tau_z,vx,vz
1.4420145351952909,-0.4125168187577506,0.5064217144469221,0.006421714446922078,2.0,1,1.06,0.7127741529874482,0.5975916291511172,empirical,0.9994977164375403,1,0.2867235634500921,0.4024083708488828
1.4601130466393002,-0.4006153302017599,0.5183232030029128,0.01832320300291279,2.0,1,1.12,0.718539176774446,0.6088545351126682,empirical,0.9994977164375403,1,0.2809585396630942,0.39114546488733176
1.4785388994743607,-0.38904118303682056,0.5298973501678521,0.02989735016785211,2.0,1,1.18,0.7240361935103412,0.6194263100461,empirical,0.9994977164375403,1,0.27546152292719905,0.38057368995389995
1.4972723832543928,-0.37777466681685246,0.5411638663878202,0.041163866387820214,2.0,1,1.24,0.7292860862746028,0.6293735970369959,empirical,0.9994977164375403,1,0.2702116301629375,0.3706264029630041
1.5162956520917745,-0.36679793565423435,0.5521405975504383,0.05214059755043832,2.0,1,1.3,0.7343074074210771,0.6387543215637894,empirical,0.9994977164375403,1,0.26519030901646307,0.36124567843621064
1.5355924852968628,-0.35609476885932256,0.5628437643453501,0.0628437643453501,2.0,1,1.3599999999999999,0.7391167168670187,0.6476191170154727,empirical,0.9994977164375403,1,0.26038099957052147,0.3523808829845273
1.5551480864507123,-0.3456503700131721,0.5732881631915006,0.07328816319150055,2.0,1,1.42,0.7437288604223302,0.6560124732608592,empirical,0.9994977164375403,1,0.2557688560152101,0.34398752673914074
1.5749489135745751,-0.33545119713703486,0.5834873360676378,0.08348733606763781,2.0,1,1.48,0.7481572005981276,0.6639736700532604,empirical,0.9994977164375403,1,0.2513405158394127,0.3360263299467396
1.5949825346688558,-0.3254848182313155,0.5934537149733572,0.0934537149733572,2.0,1,1.54,0.7524138094015144,0.6715375416052285,empirical,0.9994977164375403,1,0.24708390703602592,0.32846245839477156
1.6152375041075018,-0.31573978766996147,0.6031987455347112,0.1031987455347112,2.0,1,1.6,0.7565096304598855,0.6787351074720684,empirical,0.9994977164375403,1,0.24298808597765476,0.32126489252793156
