A_avg,A_hat,N,ax,mse_x,mx_avg,mx_hat,prior_type,qx_hat,tau_x,tau_x_emp,vx_avg,vx_hat
0.20133246651823777,0.19674483145963617,10000,1.183673469387755,0.46955706771868844,0.5420560747663552,0.5403347852336966,gaussian,0.5378543155538041,1.0,1.0123723226322774,0.45794392523364486,0.45794392523364486
0.25278852288988607,0.24268850110101006,10000,1.3673469387755102,0.42671054537433883,0.5775862068965517,0.5650150757857687,gaussian,0.5690534298680187,1.0,0.9876872670778579,0.4224137931034483,0.4224137931034483
0.3072634844857954,0.30798266354739035,10000,1.5510204081632653,0.3916985751767806,0.608,0.611379435427401,gaussian,0.6085638363842906,1.0,1.0058936096472924,0.392,0.392
0.36433718785536784,0.3593522812412859,10000,1.7346938775510203,0.3641306918747022,0.6343283582089552,0.630029875069909,gaussian,0.6306826802374625,1.0,0.9935077617770579,0.3656716417910448,0.3656716417910448
0.42367150739474735,0.4056970224784582,10000,1.9183673469387754,0.3466451636332783,0.6573426573426573,0.6447201073583613,gaussian,0.645024478868557,1.0,0.9910608994814436,0.34265734265734266,0.34265734265734266
0.48499029679544037,0.5055361244445573,10000,2.1020408163265305,0.3169007985374352,0.6776315789473684,0.6838893498430427,gaussian,0.6908782309842991,1.0,0.9938012672392215,0.3223684210526316,0.3223684210526316
0.5480651094202246,0.5358711750793247,10000,2.2857142857142856,0.30676954031138803,0.6956521739130435,0.68968852205828,gaussian,0.6882297790968436,1.0,0.9979168053311046,0.30434782608695654,0.30434782608695654
0.6127048080812028,0.6288183268549037,10000,2.4693877551020407,0.2886786221319183,0.7117647058823529,0.719104068396154,gaussian,0.7210536755283689,1.0,1.0058330833958578,0.2882352941176471,0.2882352941176471
0.6787478583798338,0.6312667648152698,10000,2.6530612244897958,0.26782365044644557,0.7262569832402235,0.7062915129477594,gaussian,0.7002617476573896,1.0,0.9801449286845749,0.2737430167597765,0.2737430167597765
0.7460565145791141,0.7192386568398988,10000,2.836734693877551,0.25820685014255307,0.7393617021276595,0.7248877518213996,gaussian,0.7253821805401962,1.0,0.9826001732451561,0.26063829787234044,0.26063829787234044
0.8145123663189722,0.7890875679666722,10000,3.0204081632653064,0.2449643562137038,0.751269035532995,0.744744851508982,gaussian,0.7386211663019014,1.0,0.9958328929297663,0.24873096446700504,0.24873096446700504
0.8840128809870536,0.8584487988874423,10000,3.2040816326530615,0.2370563358977892,0.7621359223300971,0.742464082942018,gaussian,0.7499743687098936,1.0,0.9720101330719313,0.23786407766990292,0.23786407766990292
0.95446868601189,0.9610659104127109,10000,3.3877551020408165,0.22628934778958715,0.772093023255814,0.7779621800628885,gaussian,0.7751001301920022,1.0,1.0071135777233624,0.227906976744186,0.227906976744186
1.0258014088420793,1.0178402894596683,10000,3.5714285714285716,0.21530933653040374,0.78125,0.7780146046059937,gaussian,0.7777670102701953,1.0,0.9935715354721959,0.21875,0.21875
1.0979419426806263,1.0312106976741704,10000,3.7551020408163267,0.21333470168581783,0.7896995708154506,0.7571895979628444,gaussian,0.7616323518856967,1.0,0.9660815457258098,0.21030042918454933,0.21030042918454933
1.170829041079011,1.1672486613862876,10000,3.938775510204082,0.2036251919847547,0.7975206611570248,0.795517661579633,gaussian,0.7960707553310458,1.0,0.9985897598129748,0.20247933884297523,0.20247933884297523
1.24440816928534,1.2292960896280656,10000,4.122448979591837,0.1973107856722919,0.804780876494024,0.8000934386577161,gaussian,0.7988805426039327,1.0,0.9986171203837911,0.19521912350597606,0.19521912350597606
1.3186305580373452,1.3099009528727197,10000,4.3061224489795915,0.1865508950711529,0.8115384615384615,0.8062637226507421,gaussian,0.8082480718994872,1.0,0.9908302684731498,0.18846153846153849,0.18846153846153849
1.3934524184380674,1.3829365991931435,10000,4.4897959183673475,0.1838364983948566,0.8178438661710037,0.8173895681568221,gaussian,0.8140128242156041,1.0,1.0046028104928968,0.18215613382899626,0.18215613382899626
1.4688342860875456,1.5132726623695263,10000,4.673469387755102,0.17673533557067062,0.8237410071942446,0.83777132381989,gaussian,0.8394063340850149,1.0,1.012871649125436,0.1762589928057554,0.1762589928057554
1.5447404697469316,1.5538397321163924,10000,4.857142857142858,0.1732008091448719,0.8292682926829269,0.8306558367953146,gaussian,0.832375357882255,1.0,1.0021371248532462,0.17073170731707316,0.17073170731707316
1.6211385851585893,1.6797051574499056,10000,5.040816326530613,0.1638081882828328,0.8344594594594594,0.8563668224008368,gaussian,0.8538497435288817,1.0,1.022692089555625,0.16554054054054052,0.16554054054054052
1.6979991587107914,1.761068693824798,10000,5.224489795918368,0.16055562431609574,0.839344262295082,0.8619978181463873,gaussian,0.8596092276759758,1.0,1.0249420329328942,0.16065573770491803,0.16065573770491803
1.775295288754248,1.7812317134520959,10000,5.408163265306123,0.15640035613167175,0.8439490445859873,0.8444425694139158,gaussian,0.8458018140776723,1.0,0.999483680881831,0.15605095541401273,0.15605095541401273
1.853002354790924,1.834520846486824,10000,5.591836734693878,0.15284626306566088,0.848297213622291,0.8432483850270012,gaussian,0.8426898210099016,1.0,0.9966532121097617,0.15170278637770898,0.15170278637770898
1.9310977666378855,1.9182204817599802,10000,5.775510204081633,0.14796970548527788,0.8524096385542168,0.8465207437338762,gaussian,0.8486085122950761,1.0,0.9924026806579541,0.14759036144578314,0.14759036144578314
2.009560747148249,1.9862194598843725,10000,5.959183673469388,0.14171874592147046,0.8563049853372434,0.848261571237757,gaussian,0.8495969321059827,1.0,0.9886449562910017,0.14369501466275658,0.14369501466275658
