A,A_dual,I,I_dual,ax,mx,prior_type,rho,tau_x,vx,p_pos,mean_prior
0.0,-0.0,0.0,0.0,0.0,-1.6653345369377348e-16,gauss_bernouilli,0.3,0.3,0.30000000000000016,,
0.0,-0.0,0.0,0.0,0.0,-1.1102230246251565e-16,gauss_bernouilli,0.5,0.5,0.5000000000000001,,
0.0,-0.0,0.0,0.0,0.0,-1.1102230246251565e-16,gauss_bernouilli,0.7,0.7,0.7000000000000001,,
0.00022579331763947135,0.00022278058562287163,0.014925721833875678,0.0002227805856228702,0.10101010101010101,0.00888176328459439,gauss_bernouilli,0.3,0.3,0.2911182367154056,,
0.0006179957122423587,0.0005998439820931289,0.024634529540282894,0.0005998439820931283,0.10101010101010101,0.024113225947842654,gauss_bernouilli,0.5,0.5,0.47588677405215735,,
0.0011945659230222084,0.00114253534516754,0.03415896943051314,0.0011425353451675405,0.10101010101010101,0.04627460511015702,gauss_bernouilli,0.7,0.7,0.6537253948898429,,
0.0008934264251699285,0.0008778619357454212,0.02940960387786037,0.0008778619357454193,0.20202020202020202,0.017535754773061962,gauss_bernouilli,0.3,0.3,0.282464245226938,,
0.002404011449166776,0.0022761158710351516,0.048101039055883726,0.002276115871035149,0.20202020202020202,0.04633326046999908,gauss_bernouilli,0.5,0.5,0.4536667395300009,,
0.0045811147839806814,0.004207072382996746,0.06612595592309002,0.004207072382996745,0.20202020202020202,0.08700305295307653,gauss_bernouilli,0.7,0.7,0.6129969470469234,,
0.001995773543629463,0.0019599587170154587,0.043458771910915996,0.0019599587170154656,0.30303030303030304,0.02610783292025648,gauss_bernouilli,0.3,0.3,0.2738921670797435,,
0.0052720245390272605,0.004879152708305976,0.07048555121854849,0.004879152708305967,0.30303030303030304,0.06699776983239936,gauss_bernouilli,0.5,0.5,0.43300223016760064,,
0.009906403021018077,0.008758377303313358,0.096154203039588,0.008758377303313372,0.30303030303030304,0.12318755014058747,gauss_bernouilli,0.7,0.7,0.5768124498594125,,
0.003529550494570774,0.0034637440580136346,0.05707651011148983,0.0034637440580136333,0.40404040404040403,0.03461680803529282,gauss_bernouilli,0.3,0.3,0.26538319196470717,,
0.00914811661840877,0.008280896029727713,0.09186198439169224,0.008280896029727716,0.40404040404040403,0.0862736126082756,gauss_bernouilli,0.5,0.5,0.4137263873917244,,
0.016960079174730854,0.01446456792510958,0.12445406223941055,0.014464567925109584,0.40404040404040403,0.15555200314421014,gauss_bernouilli,0.7,0.7,0.5444479968557898,,
0.005490678781671118,0.00537342524572884,0.07026689697590464,0.005373425245728841,0.5050505050505051,0.04302185194850383,gauss_bernouilli,0.3,0.3,0.25697814805149616,,
