N,alpha,ax,az,exp,n_eff,vx,vx_scaled,vz,vz_scaled
500,0.01,0.3,1.0,wrt_alpha,0.0023093390257837723,0.7697796752612575,0.23093390257837723,0.9976906609742162,0.9976906609742162
500,0.01,1.0,1.0,wrt_alpha,0.00495613169006833,0.49561316900683294,0.49561316900683294,0.9950438683099316,0.9950438683099316
500,0.01,10.0,1.0,wrt_alpha,0.009073926983019169,0.09073926983019169,0.9073926983019169,0.9909260730169809,0.9909260730169809
500,0.01148153621496883,0.3,1.0,wrt_alpha,0.002263643258964194,0.7545477529880646,0.2263643258964194,0.9977363567410358,0.9977363567410358
500,0.01148153621496883,1.0,1.0,wrt_alpha,0.004930048616515472,0.49300486165154717,0.49300486165154717,0.9950699513834845,0.9950699513834845
500,0.01148153621496883,10.0,1.0,wrt_alpha,0.009060295910379825,0.09060295910379824,0.9060295910379824,0.9909397040896202,0.9909397040896202
500,0.013182567385564075,0.3,1.0,wrt_alpha,0.002762430846122095,0.7673419017005819,0.23020257051017456,0.997237569153878,0.997237569153878
500,0.013182567385564075,1.0,1.0,wrt_alpha,0.006017925477662541,0.5014937898052118,0.5014937898052118,0.9939820745223374,0.9939820745223374
500,0.013182567385564075,10.0,1.0,wrt_alpha,0.010909580441011176,0.0909131703417598,0.9091317034175981,0.9890904195589888,0.9890904195589888
500,0.01513561248436208,0.3,1.0,wrt_alpha,0.0032551150503524356,0.7750273929410562,0.23250821788231685,0.9967448849496475,0.9967448849496475
500,0.01513561248436208,1.0,1.0,wrt_alpha,0.006794676951311389,0.4853340679508135,0.4853340679508135,0.9932053230486886,0.9932053230486886
500,0.01513561248436208,10.0,1.0,wrt_alpha,0.012733244060291693,0.0909517432877978,0.909517432877978,0.9872667559397084,0.9872667559397084
500,0.017378008287493755,0.3,1.0,wrt_alpha,0.003631913657388349,0.7566486786225728,0.22699460358677181,0.9963680863426116,0.9963680863426116
500,0.017378008287493755,1.0,1.0,wrt_alpha,0.007943334659085905,0.49645841619286907,0.49645841619286907,0.9920566653409141,0.9920566653409141
500,0.017378008287493755,10.0,1.0,wrt_alpha,0.014482701643753395,0.09051688527345872,0.9051688527345871,0.9855172983562466,0.9855172983562466
500,0.0199526231496888,0.3,1.0,wrt_alpha,0.004169273061330242,0.7720876039500449,0.23162628118501347,0.9958307269386698,0.9958307269386698
500,0.0199526231496888,1.0,1.0,wrt_alpha,0.008890941553670161,0.4939411974261201,0.4939411974261201,0.9911090584463298,0.9911090584463298
500,0.0199526231496888,10.0,1.0,wrt_alpha,0.01633001172220009,0.09072228734555605,0.9072228734555605,0.9836699882778,0.9836699882778
500,0.022908676527677724,0.3,1.0,wrt_alpha,0.005004965472616446,0.7583281019115828,0.22749843057347485,0.9949950345273836,0.9949950345273836
500,0.022908676527677724,1.0,1.0,wrt_alpha,0.011044236422180468,0.5020107464627486,0.5020107464627486,0.9889557635778196,0.9889557635778196
500,0.022908676527677724,10.0,1.0,wrt_alpha,0.019949799960543923,0.0906809089115633,0.9068090891156331,0.9800502000394561,0.9800502000394561
500,0.026302679918953815,0.3,1.0,wrt_alpha,0.005867627267970506,0.752259906150065,0.22567797184501948,0.9941323727320295,0.9941323727320295
500,0.026302679918953815,1.0,1.0,wrt_alpha,0.012869472290005507,0.4949797034617503,0.4949797034617503,0.9871305277099945,0.9871305277099945
500,0.026302679918953815,10.0,1.0,wrt_alpha,0.02354318059748206,0.09055069460570023,0.9055069460570022,0.9764568194025179,0.9764568194025179
500,0.03019951720402016,0.3,1.0,wrt_alpha,0.007027571606997269,0.7808412896663633,0.234252386899909,0.9929724283930027,0.9929724283930027
500,0.03019951720402016,1.0,1.0,wrt_alpha,0.014913678036051934,0.49712260120173113,0.49712260120173113,0.9850863219639481,0.9850863219639481
500,0.03019951720402016,10.0,1.0,wrt_alpha,0.027172456360547187,0.09057485453515729,0.9057485453515729,0.9728275436394528,0.9728275436394528
500,0.034673685045253165,0.3,1.0,wrt_alpha,0.007832992382712085,0.7679404296776553,0.23038212890329657,0.9921670076172879,0.9921670076172879
500,0.034673685045253165,1.0,1.0,wrt_alpha,0.016571664420411907,0.4874018947179972,0.4874018947179972,0.9834283355795881,0.9834283355795881
500,0.034673685045253165,10.0,1.0,wrt_alpha,0.030852949159300362,0.0907439681155893,0.9074396811558929,0.9691470508406996,0.9691470508406996
500,0.039810717055349734,0.3,1.0,wrt_alpha,0.008610179913854139,0.7552789398117666,0.22658368194352999,0.9913898200861458,0.9913898200861458
500,0.039810717055349734,1.0,1.0,wrt_alpha,0.018667716960012588,0.4912557094740155,0.4912557094740155,0.9813322830399874,0.9813322830399874
500,0.039810717055349734,10.0,1.0,wrt_alpha,0.0343852789352264,0.09048757614533263,0.9048757614533264,0.9656147210647736,0.9656147210647736
500,0.04570881896148749,0.3,1.0,wrt_alpha,0.010140210903439554,0.7681977957151178,0.23045933871453533,0.9898597890965605,0.9898597890965605
500,0.04570881896148749,1.0,1.0,wrt_alpha,0.021686189332267604,0.4928679393697183,0.4928679393697183,0.9783138106677324,0.9783138106677324
500,0.04570881896148749,10.0,1.0,wrt_alpha,0.03979366894456701,0.09044015669219777,0.9044015669219776,0.960206331055433,0.960206331055433
500,0.05248074602497726,0.3,1.0,wrt_alpha,0.011704705926688382,0.7503016619672039,0.22509049859016117,0.9882952940733116,0.9882952940733116
500,0.05248074602497726,1.0,1.0,wrt_alpha,0.02562504260401883,0.49278928084651596,0.49278928084651596,0.9743749573959811,0.9743749573959811
500,0.05248074602497726,10.0,1.0,wrt_alpha,0.04710381054863329,0.09058425105506401,0.9058425105506401,0.9528961894513667,0.9528961894513667
500,0.06025595860743578,0.3,1.0,wrt_alpha,0.013865623916684692,0.7703124398158163,0.2310937319447449,0.9861343760833153,0.9861343760833153
500,0.06025595860743578,1.0,1.0,wrt_alpha,0.0292945859312535,0.488243098854225,0.488243098854225,0.9707054140687466,0.9707054140687466
500,0.06025595860743578,10.0,1.0,wrt_alpha,0.05421029524600437,0.09035049207667395,0.9035049207667395,0.9457897047539956,0.9457897047539956
500,0.06918309709189363,0.3,1.0,wrt_alpha,0.0157660151470422,0.7728438797569704,0.23185316392709113,0.9842339848529578,0.9842339848529578
500,0.06918309709189363,1.0,1.0,wrt_alpha,0.03327403024414831,0.4893239741786516,0.4893239741786516,0.9667259697558517,0.9667259697558517
500,0.06918309709189363,10.0,1.0,wrt_alpha,0.061465349689573096,0.09039022013172514,0.9039022013172514,0.9385346503104269,0.9385346503104269
500,0.07943282347242814,0.3,1.0,wrt_alpha,0.017867920629071263,0.7635863516697121,0.2290759055009136,0.9821320793709287,0.9821320793709287
500,0.07943282347242814,1.0,1.0,wrt_alpha,0.03801577699204873,0.48738175630831704,0.48738175630831704,0.9619842230079513,0.9619842230079513
500,0.07943282347242814,10.0,1.0,wrt_alpha,0.0703115300467841,0.09014298723946679,0.9014298723946679,0.9296884699532159,0.9296884699532159
