N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,p_pos
1000,2.4,gaussian,7.645910428195852e-25,5.788680645943423e-14,1.272676990823281e-07,5,5,0.5
1000,2.46,gaussian,1.4102096624086705e-29,1e-20,2.375826927799558e-10,5,5,0.5
1000,2.52,gaussian,1.5659646532385684e-23,3.085398603311247e-13,5.280449934528564e-13,5,5,0.5
1000,2.58,gaussian,1.3304262426068804e-29,1e-20,8.985525077788816e-19,5,5,0.5
1000,2.6399999999999997,gaussian,1.278625198227477e-29,1e-20,1e-20,5,5,0.5
1000,2.6999999999999997,gaussian,1.1583547250603829e-29,1e-20,1e-20,5,5,0.5
1000,2.76,gaussian,5.943910268533974e-14,1.658792695507968e-08,1e-20,4,5,0.5
1000,2.82,gaussian,1.2308079014194395e-29,1e-20,1.2486099081297417e-05,5,4,0.5
1000,2.88,gaussian,7.7665919708642e-25,9.905010145442132e-14,3.1588831301141342e-06,4,4,0.5
1000,2.94,gaussian,4.812155443692616e-18,2.0337645607501372e-10,6.675028587317106e-07,4,4,0.5
1000,3.0,gaussian,1.1989292926823599e-29,1.0000000000000004e-20,1.0924744043008062e-07,4,4,0.5
1000,0.06,gaussian,0.7228701247228546,0.722598772262868,0.7241543202585694,2,4,0.75
1000,0.12,gaussian,0.6462217805533533,0.6953902717645881,0.6980208896927359,3,4,0.75
1000,0.18,gaussian,0.6841431191164578,0.6690376779399606,0.6717932161760178,2,4,0.75
1000,0.24,gaussian,0.6188363431969719,0.6378867699560744,0.6455058076936574,3,5,0.75
1000,0.3,gaussian,0.6159427618864017,0.6088758296806958,0.6191909569462145,2,5,0.75
1000,0.36,gaussian,0.6090860549119734,0.5981551046741941,0.5926917181476689,3,5,0.75
1000,0.42,gaussian,0.6071033517099719,0.5716339005173958,0.5665874390475218,2,6,0.75
1000,0.48,gaussian,0.4872415849421867,0.5332234515506612,0.5402074302555636,3,6,0.75
1000,0.54,gaussian,0.5108955306846802,0.5307890102874306,0.5139373525763854,5,7,0.75
1000,0.6,gaussian,0.49246065554225305,0.49304831820703265,0.4876707954450467,4,7,0.75
1000,0.6599999999999999,gaussian,0.4659379316487511,0.4574478099626184,0.46185353902899207,4,8,0.75
1000,0.72,gaussian,0.4288542013240154,0.4443507105537544,0.4352656920679162,7,8,0.75
1000,0.78,gaussian,0.40898067826677037,0.4057188007502656,0.4089204069318605,8,9,0.75
1000,0.84,gaussian,0.391826291042689,0.38596481330549554,0.38217781356995456,6,9,0.75
1000,0.8999999999999999,gaussian,0.34530695086791424,0.3599712565783603,0.355868464389434,4,10,0.75
1000,0.96,gaussian,0.32283790971406495,0.3369711065600706,0.3287904593749833,8,11,0.75
1000,1.02,gaussian,0.34806305254994657,0.2959218258864021,0.30117268052912394,4,12,0.75
1000,1.08,gaussian,0.2938741116131747,0.29714442704325117,0.27384290121647026,5,14,0.75
1000,1.14,gaussian,0.21983016081227344,0.2079532453505378,0.24507954321732048,28,16,0.75
1000,1.2,gaussian,0.194314582856912,0.21563103512002138,0.21485282620092921,7,19,0.75
1000,1.26,gaussian,0.18392978054287873,0.1811999231639329,0.18256001216196852,5,24,0.75
1000,1.3199999999999998,gaussian,0.10907834424472065,0.09830927030702197,0.1442624925472971,12,35,0.75
1000,1.38,gaussian,0.14312788005414923,0.12649130056300908,3.089968366480556e-08,14,42,0.75
1000,1.44,gaussian,1.1968289505222089e-29,1e-20,1e-20,16,18,0.75
1000,1.5,gaussian,1.1890340187024938e-29,1e-20,8.727775927876259e-10,13,13,0.75
1000,1.56,gaussian,1.3096607118721017e-29,1.0000000000000004e-20,1.378648791926693e-16,15,11,0.75
1000,1.6199999999999999,gaussian,1.1098212904618245e-29,1.0000000000000004e-20,1.0665856718939194e-05,9,9,0.75
1000,1.68,gaussian,3.506446080484225e-25,4.357536553817083e-14,1.9814245997646007e-05,9,8,0.75
1000,1.74,gaussian,1.2463324375151562e-29,1e-20,3.516654995117862e-18,8,8,0.75
1000,1.7999999999999998,gaussian,5.073450540160114e-21,7.143861947827083e-12,4.2630738105248776e-07,7,7,0.75
1000,1.8599999999999999,gaussian,1.2141013065610558e-29,1e-20,5.4543442660655527e-17,8,7,0.75
1000,1.92,gaussian,3.795988850181615e-21,5.918873170217756e-12,1.2069182200431074e-05,7,6,0.75
1000,1.98,gaussian,1.4370333983765137e-29,1.4588330543574632e-16,2.5303309392142675e-08,6,6,0.75
1000,2.04,gaussian,7.58383704899793e-18,1.7472451715188213e-10,7.553341756115192e-15,6,6,0.75
1000,2.1,gaussian,1.244778135012838e-29,9.992007221626405e-18,1e-20,6,6,0.75
1000,2.16,gaussian,1.3716195730013902e-29,1.0000000000000004e-20,1.732699601994317e-05,6,5,0.75
1000,2.2199999999999998,gaussian,1.1895976888475896e-18,6.725276664557363e-11,1.0478471247314197e-06,5,5,0.75
1000,2.28,gaussian,2.4267692698512377e-22,9.814145052441628e-13,1.6054889384396553e-08,5,5,0.75
1000,2.34,gaussian,1.1874069930854755e-29,1e-20,4.2388401282399496e-11,5,5,0.75
1000,2.4,gaussian,1.1528068142253833e-29,1e-20,2.99906403476124e-15,5,5,0.75
1000,2.46,gaussian,1.1638015630919011e-29,1e-20,1e-20,5,5,0.75
1000,2.52,gaussian,5.202016052033574e-17,4.333930783652252e-10,1e-20,5,5,0.75
1000,2.58,gaussian,1.2135737558306893e-29,1e-20,1e-20,5,5,0.75
1000,2.6399999999999997,gaussian,2.1733484125111817e-15,4.1887660850449925e-09,2.0071128069813982e-05,4,4,0.75
1000,2.6999999999999997,gaussian,2.1124260054528293e-27,3.96327415330732e-15,5.7590076717515095e-06,4,4,0.75
1000,2.76,gaussian,1.1036164064041955e-29,1.0000000000000004e-20,1.3313597028132067e-06,5,4,0.75
1000,2.82,gaussian,1.1674278580655889e-29,1e-20,2.3496518244171067e-07,5,4,0.75
1000,2.88,gaussian,8.786722129232307e-22,2.6481772332261724e-12,3.175137173703207e-08,4,4,0.75
1000,2.94,gaussian,3.812965991679296e-15,5.027003919044792e-09,3.4161203564214185e-09,4,4,0.75
1000,3.0,gaussian,2.692853312079946e-21,3.05056313578603e-12,2.1260437457023955e-10,4,4,0.75
