N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,rho,var_noise
1000,0.14285714285714285,gaussian,0.3948311600030314,0.3939338860100475,0.4272710534818149,2,4,0.5,1e-06
1000,0.16326530612244897,gaussian,0.41680665747829326,0.4185001962891959,0.4159844604401874,1,4,0.5,1e-06
1000,0.18367346938775508,gaussian,0.44595989408879644,0.40850022256221125,0.405070333262979,1,5,0.5,1e-06
1000,0.2040816326530612,gaussian,0.40540078891275505,0.39097434778245604,0.3934311256305039,4,5,0.5,1e-06
1000,0.22448979591836732,gaussian,0.474616261756278,0.377817034389907,0.3821710032274393,4,5,0.5,1e-06
1000,0.24489795918367346,gaussian,0.3530338063339251,0.36840899919777403,0.3707367668053125,3,5,0.5,1e-06
1000,0.26530612244897955,gaussian,0.3497517354903755,0.3500641518710936,0.35854054587355383,2,6,0.5,1e-06
1000,0.2857142857142857,gaussian,0.3849555791128189,0.34868265713066504,0.346741522862584,2,6,0.5,1e-06
1000,0.3061224489795918,gaussian,0.26886851393590633,0.33366009699842936,0.33415717963176494,2,6,0.5,1e-06
1000,0.32653061224489793,gaussian,0.31109953748726193,0.31760931507105983,0.32198332168576366,2,6,0.5,1e-06
1000,0.3469387755102041,gaussian,0.32260229066162527,0.3077331442146658,0.309621975272891,4,7,0.5,1e-06
1000,0.36734693877551017,gaussian,0.2968901471312825,0.2938622948861876,0.29643660778005526,4,7,0.5,1e-06
1000,0.3877551020408163,gaussian,0.33828192449406314,0.29243706537363984,0.2836776681983086,3,7,0.5,1e-06
1000,0.4081632653061224,gaussian,0.22972635528808927,0.2519421668753006,0.27006179773019456,8,8,0.5,1e-06
1000,0.42857142857142855,gaussian,0.27642384453926205,0.2416202124627767,0.25687716606570726,12,8,0.5,1e-06
1000,0.44897959183673464,gaussian,0.23865653479117777,0.23374154530610228,0.24346927825489545,7,9,0.5,1e-06
1000,0.4693877551020408,gaussian,0.23013158830799485,0.23581133627920878,0.2291352920616363,4,9,0.5,1e-06
1000,0.4897959183673469,gaussian,0.2579114186524883,0.22464757001372607,0.2152204107150168,6,10,0.5,1e-06
1000,0.5102040816326531,gaussian,0.2530769456084894,0.21915395600311086,0.2003056683061661,2,10,0.5,1e-06
1000,0.5306122448979591,gaussian,0.2392491197029149,0.2131722950259021,0.18577544706177898,2,11,0.5,1e-06
1000,0.5510204081632653,gaussian,0.19032076289505778,0.17604454366857,0.17012417427376905,15,12,0.5,1e-06
1000,0.5714285714285714,gaussian,0.1700627528724761,0.15416766925914577,0.15477111004866917,7,13,0.5,1e-06
1000,0.5918367346938775,gaussian,0.15588326942852454,0.13623516064720873,0.1388763566627557,9,15,0.5,1e-06
1000,0.6122448979591836,gaussian,0.13791295329283465,0.11276365393251021,0.12142100888620491,11,17,0.5,1e-06
1000,0.6326530612244897,gaussian,0.1042311287503571,0.0829913002598609,0.10375280945245358,22,21,0.5,1e-06
1000,0.6530612244897959,gaussian,0.042223694588842293,0.05669533619964732,0.08337861386751223,37,27,0.5,1e-06
1000,0.673469387755102,gaussian,0.09562486027475031,0.0759741090559018,0.06004398529560082,6,44,0.5,1e-06
1000,0.6938775510204082,gaussian,3.0593199352544628e-06,3.714649106733308e-06,4.056813568605917e-06,33,61,0.5,1e-06
1000,0.7142857142857142,gaussian,3.051999454070891e-06,2.9110358051782207e-06,3.7340495259368465e-06,27,32,0.5,1e-06
1000,0.7346938775510203,gaussian,2.3698934119894466e-06,2.5197977321238127e-06,2.9603876600076265e-06,21,25,0.5,1e-06
1000,0.7551020408163265,gaussian,3.589819696764378e-06,3.2061395488497625e-06,2.927665730221304e-06,21,20,0.5,1e-06
1000,0.7755102040816326,gaussian,2.5952111872492917e-06,3.0613313435504457e-06,2.7969085972486575e-06,21,17,0.5,1e-06
1000,0.7959183673469387,gaussian,3.4332962119065003e-06,2.656522586243459e-06,2.5495381414228855e-06,15,15,0.5,1e-06
1000,0.8163265306122448,gaussian,2.3412598059061268e-06,2.382559713773825e-06,2.0600260834559397e-06,14,14,0.5,1e-06
1000,0.836734693877551,gaussian,2.3282836557535645e-06,2.4108681437025726e-06,2.1812065541020724e-06,13,12,0.5,1e-06
1000,0.8571428571428571,gaussian,1.7950592300677418e-06,1.9165848352851767e-06,1.9592921582799403e-06,11,11,0.5,1e-06
1000,0.8775510204081632,gaussian,1.7029695335102962e-06,1.6449427880826525e-06,1.8658305090481848e-06,11,10,0.5,1e-06
1000,0.8979591836734693,gaussian,2.022140192228095e-06,1.8057618369773924e-06,1.833140725574762e-06,9,9,0.5,1e-06
1000,0.9183673469387754,gaussian,1.6857791661588429e-06,1.6768550254541412e-06,1.459461475137379e-06,8,9,0.5,1e-06
1000,0.9387755102040816,gaussian,1.350755529616124e-06,1.4112447517424938e-06,1.4542763909154858e-06,8,8,0.5,1e-06
1000,0.9591836734693877,gaussian,1.8605756514596538e-06,1.5297669475857068e-06,1.4579035493988525e-06,7,7,0.5,1e-06
1000,0.9795918367346939,gaussian,1.7219815325164977e-06,1.3942135891292473e-06,1.4902935197032112e-06,6,6,0.5,1e-06
1000,1.0,gaussian,1.6403618525682224e-06,1.5284098980499093e-06,1.4042633055874275e-06,5,5,0.5,1e-06
1000,0.02040816326530612,gaussian,0.6955859103903106,0.73236051218867,0.7349990401918312,2,2,0.75,1e-06
1000,0.04081632653061224,gaussian,0.6774675657490973,0.718349556914108,0.7199923714181576,2,3,0.75,1e-06
1000,0.061224489795918366,gaussian,0.7757373148136619,0.7042500643433494,0.704223489797817,1,3,0.75,1e-06
1000,0.08163265306122448,gaussian,0.6705847027021201,0.6892500887867917,0.6891892778465938,1,3,0.75,1e-06
1000,0.1020408163265306,gaussian,0.6235498354312501,0.672573513761063,0.6733816252336144,3,3,0.75,1e-06
1000,0.12244897959183673,gaussian,0.5598945991261035,0.655657654804061,0.6583021308726172,2,3,0.75,1e-06
1000,0.14285714285714285,gaussian,0.6842234956633807,0.6435001664621115,0.6431952895485453,1,3,0.75,1e-06
1000,0.16326530612244897,gaussian,0.6600828604127118,0.6248153262960796,0.6273004846857588,2,3,0.75,1e-06
1000,0.18367346938775508,gaussian,0.5876756898766662,0.6017427428375369,0.6121288267236337,2,4,0.75,1e-06
1000,0.2040816326530612,gaussian,0.46543118391955896,0.5782756613985118,0.596160618830623,2,4,0.75,1e-06
1000,0.22448979591836732,gaussian,0.6029793736356337,0.582000289210162,0.5809145412836858,1,4,0.75,1e-06
1000,0.24489795918367346,gaussian,0.5743099665901672,0.5663406087929178,0.5656292886841899,3,4,0.75,1e-06
1000,0.26530612244897955,gaussian,0.5264171422610902,0.5512503600052142,0.5495358184574354,1,4,0.75,1e-06
1000,0.2857142857142857,gaussian,0.5580072271519299,0.5272103698277284,0.5341652649571289,2,4,0.75,1e-06
1000,0.3061224489795918,gaussian,0.5668157576295008,0.5205004438018201,0.517979005649708,1,4,0.75,1e-06
1000,0.32653061224489793,gaussian,0.5146741935698284,0.4964687259509376,0.5025171647149248,2,4,0.75,1e-06
1000,0.3469387755102041,gaussian,0.4898511894207893,0.48699637161126735,0.4870087672096752,5,4,0.75,1e-06
1000,0.36734693877551017,gaussian,0.4950606032113047,0.4733311387631729,0.4706733529166535,3,5,0.75,1e-06
1000,0.3877551020408163,gaussian,0.475517175146118,0.4597506299972941,0.45506527038341615,1,5,0.75,1e-06
1000,0.4081632653061224,gaussian,0.4284227792206252,0.4331833965272888,0.4386220867391381,8,5,0.75,1e-06
1000,0.42857142857142855,gaussian,0.45895883493078454,0.4290007568371393,0.42290819674697666,1,5,0.75,1e-06
1000,0.44897959183673464,gaussian,0.3351818269133345,0.4028198840920087,0.4071401086600407,4,5,0.75,1e-06
1000,0.4693877551020408,gaussian,0.4279957959038814,0.39825088712945866,0.3905231894643972,1,5,0.75,1e-06
1000,0.4897959183673469,gaussian,0.3845554719583921,0.3705842645132304,0.37463767774795154,3,5,0.75,1e-06
1000,0.5102040816326531,gaussian,0.3721398261992318,0.3562480189374211,0.3578922191887518,4,5,0.75,1e-06
1000,0.5306122448979591,gaussian,0.37289561643340774,0.3344709526363168,0.3418784008707703,6,6,0.75,1e-06
1000,0.5510204081632653,gaussian,0.30264186087371525,0.31838311217357634,0.32499102497364846,3,6,0.75,1e-06
1000,0.5714285714285714,gaussian,0.32273172806766376,0.31499972046373265,0.3088339710117097,2,6,0.75,1e-06
1000,0.5918367346938775,gaussian,0.31304807515751587,0.2952640735196412,0.2925996995790994,2,6,0.75,1e-06
1000,0.6122448979591836,gaussian,0.29219647009158956,0.283228723380093,0.2754638512076123,2,6,0.75,1e-06
1000,0.6326530612244897,gaussian,0.28038283287988097,0.25922464496138964,0.25905030471382834,2,7,0.75,1e-06
1000,0.6530612244897959,gaussian,0.21575164720130025,0.2495964109031348,0.24170714837146187,3,7,0.75,1e-06
1000,0.673469387755102,gaussian,0.21140917859421315,0.22025295631083375,0.2250733478822278,5,7,0.75,1e-06
1000,0.6938775510204082,gaussian,0.21004704178855088,0.2096912805971513,0.2083097901989528,6,7,0.75,1e-06
1000,0.7142857142857142,gaussian,0.17718850179853296,0.1855080449506805,0.19054511190787396,6,8,0.75,1e-06
1000,0.7346938775510203,gaussian,0.19229997251239542,0.1757966807681257,0.17344168266621499,4,8,0.75,1e-06
1000,0.7551020408163265,gaussian,0.16043797377814056,0.15610849875199237,0.15524364353225698,8,9,0.75,1e-06
1000,0.7755102040816326,gaussian,0.15172864321386698,0.1470943379346279,0.13762165111821772,3,10,0.75,1e-06
1000,0.7959183673469387,gaussian,0.10116879628214309,0.1196502365339803,0.11962021154270337,5,11,0.75,1e-06
1000,0.8163265306122448,gaussian,0.14187831990248367,0.11218552717282605,0.10013225203285021,5,12,0.75,1e-06
1000,0.836734693877551,gaussian,0.0737579500607768,0.07402486014105242,0.08068006992170713,7,15,0.75,1e-06
1000,0.8571428571428571,gaussian,0.06562433507534168,0.05924113172845083,0.05840701816451114,6,21,0.75,1e-06
1000,0.8775510204081632,gaussian,8.855701488120666e-06,7.004424613059503e-06,0.030675177852320264,33,53,0.75,1e-06
1000,0.8979591836734693,gaussian,0.006648201956356508,0.006141693564408942,6.78918207871099e-06,23,28,0.75,1e-06
1000,0.9183673469387754,gaussian,6.974117213362965e-06,6.249187574232768e-06,5.847528624983692e-06,20,18,0.75,1e-06
1000,0.9387755102040816,gaussian,5.089167069577947e-06,4.669819071604309e-06,5.438073529585736e-06,13,13,0.75,1e-06
1000,0.9591836734693877,gaussian,4.8964297104300105e-06,4.287242108357519e-06,4.406213410589827e-06,10,11,0.75,1e-06
1000,0.9795918367346939,gaussian,3.5882914638011382e-06,4.290274773502018e-06,4.330744003378623e-06,9,8,0.75,1e-06
1000,1.0,gaussian,4.927525038912266e-06,4.097405009070946e-06,3.7704440212504404e-06,6,6,0.75,1e-06
