N,alpha,ensemble_type,mean_prior,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,prior_type
1000,0.020134228187919462,complex_gaussian,-1.0,1.000204581839734,0.9960062898554473,0.9943037792446884,1,4,gaussian
1000,0.040268456375838924,complex_gaussian,-1.0,0.9908540350957284,0.993497883611384,0.9885620948964194,1,5,gaussian
1000,0.060402684563758385,complex_gaussian,-1.0,0.9496016001365659,0.9824897353186268,0.9827844202059444,4,5,gaussian
1000,0.08053691275167785,complex_gaussian,-1.0,0.9878490043548892,0.9839299521851814,0.9769280483084234,1,6,gaussian
1000,0.10067114093959731,complex_gaussian,-1.0,0.9589721325461709,0.9731694807707422,0.9710418510727616,8,6,gaussian
1000,0.12080536912751677,complex_gaussian,-1.0,0.9696430595640035,0.9750296948846533,0.9651026285589059,3,6,gaussian
1000,0.14093959731543623,complex_gaussian,-1.0,0.9429721676066338,0.9690852045943823,0.9591393130073699,2,6,gaussian
1000,0.1610738255033557,complex_gaussian,-1.0,0.9796997219177558,0.9631122988675731,0.9527924990986052,3,7,gaussian
1000,0.18120805369127516,complex_gaussian,-1.0,0.9057080806711649,0.938493032660626,0.9466977159861502,2,7,gaussian
1000,0.20134228187919462,complex_gaussian,-1.0,0.8988682414869015,0.9380904117215496,0.9405443972564846,6,7,gaussian
1000,0.22147651006711408,complex_gaussian,-1.0,0.9455072429662954,0.9365635445065769,0.9343930303461093,2,7,gaussian
1000,0.24161073825503354,complex_gaussian,-1.0,0.8821607887854931,0.9378420177732363,0.9281414013747972,2,7,gaussian
1000,0.261744966442953,complex_gaussian,-1.0,0.9493531206989896,0.9302073610270298,0.9218494356447291,3,8,gaussian
1000,0.28187919463087246,complex_gaussian,-1.0,0.8943293837919418,0.9143751286643431,0.9154838788659464,3,8,gaussian
1000,0.30201342281879195,complex_gaussian,-1.0,0.94517714521997,0.9079153454289542,0.9087889497152203,3,8,gaussian
1000,0.3221476510067114,complex_gaussian,-1.0,0.9331225151115955,0.8931391840392053,0.9022553765780025,9,8,gaussian
1000,0.3422818791946308,complex_gaussian,-1.0,0.9221506006058992,0.8836051800105243,0.8958172895397366,14,9,gaussian
1000,0.3624161073825503,complex_gaussian,-1.0,0.8206793605659023,0.8825841200863075,0.8891695153691901,5,9,gaussian
1000,0.3825503355704698,complex_gaussian,-1.0,0.8926570698182572,0.8904565388035462,0.8825938417134577,4,9,gaussian
1000,0.40268456375838924,complex_gaussian,-1.0,0.8823585148780017,0.8754226133702364,0.8758980678719874,2,9,gaussian
1000,0.42281879194630867,complex_gaussian,-1.0,0.9599715425783716,0.8701895039545383,0.8691363886382258,2,9,gaussian
1000,0.44295302013422816,complex_gaussian,-1.0,0.8720770350212779,0.8675221100102583,0.8623455195105708,3,10,gaussian
1000,0.46308724832214765,complex_gaussian,-1.0,0.8645333688533646,0.8524589456668348,0.8551312837499409,3,10,gaussian
1000,0.4832214765100671,complex_gaussian,-1.0,0.8406572863852982,0.8454975412386307,0.8481991499486133,5,10,gaussian
1000,0.5033557046979865,complex_gaussian,-1.0,0.8483611205742524,0.8397383140982352,0.8412243217869599,3,10,gaussian
1000,0.523489932885906,complex_gaussian,-1.0,0.8492855543702128,0.8270460450301582,0.8341870633774868,4,10,gaussian
1000,0.5436241610738255,complex_gaussian,-1.0,0.7730317150441742,0.821466480271444,0.8270541963856629,4,11,gaussian
1000,0.5637583892617449,complex_gaussian,-1.0,0.8375585838451832,0.8081151817602105,0.8199023519088438,5,11,gaussian
1000,0.5838926174496644,complex_gaussian,-1.0,0.8216125489784328,0.8316934638076754,0.8126828723194847,2,11,gaussian
1000,0.6040268456375839,complex_gaussian,-1.0,0.8441796826978143,0.8010142207506469,0.8050824530783771,4,11,gaussian
1000,0.6241610738255033,complex_gaussian,-1.0,0.8259091492712912,0.8190358328180449,0.7976724875777377,3,11,gaussian
1000,0.6442953020134228,complex_gaussian,-1.0,0.748282622824619,0.7858702294666912,0.7902573377039832,5,12,gaussian
1000,0.6644295302013422,complex_gaussian,-1.0,0.7551922137636464,0.7862799194187101,0.7827591632146547,4,12,gaussian
1000,0.6845637583892616,complex_gaussian,-1.0,0.7635390092280888,0.78375038423278,0.77513133390362,17,12,gaussian
1000,0.7046979865771812,complex_gaussian,-1.0,0.743439293716628,0.7711556044523086,0.7674808414157204,3,12,gaussian
1000,0.7248322147651006,complex_gaussian,-1.0,0.7931789263319114,0.7707402442852304,0.7598164104221206,6,13,gaussian
1000,0.7449664429530201,complex_gaussian,-1.0,0.7936031424897455,0.7673693711742731,0.7519950004631352,3,13,gaussian
1000,0.7651006711409396,complex_gaussian,-1.0,0.7797912399090652,0.7387438510395218,0.7438382354777509,4,13,gaussian
1000,0.785234899328859,complex_gaussian,-1.0,0.7317346013018572,0.7242837768043441,0.7358662339887385,10,13,gaussian
1000,0.8053691275167785,complex_gaussian,-1.0,0.7412201611884254,0.7457282259155387,0.7278968545129834,4,14,gaussian
1000,0.8255033557046979,complex_gaussian,-1.0,0.7287309672528473,0.6975871026817708,0.7198238308540721,6,14,gaussian
1000,0.8456375838926173,complex_gaussian,-1.0,0.7337365903699877,0.7068140031664282,0.7117534443838689,9,14,gaussian
1000,0.8657718120805369,complex_gaussian,-1.0,0.7134254619409863,0.7102397902326923,0.7034820605181927,6,14,gaussian
1000,0.8859060402684563,complex_gaussian,-1.0,0.6399135700688396,0.6898881683691063,0.6953604061235025,8,15,gaussian
1000,0.9060402684563758,complex_gaussian,-1.0,0.7070673389095826,0.6870366730538617,0.6863620379414466,6,15,gaussian
1000,0.9261744966442953,complex_gaussian,-1.0,0.6879738781196594,0.6779634048598301,0.6779099255585131,5,15,gaussian
1000,0.9463087248322147,complex_gaussian,-1.0,0.706199397760983,0.6738788442026762,0.66947728615773,7,15,gaussian
1000,0.9664429530201342,complex_gaussian,-1.0,0.6793608284868449,0.65552423000455,0.660744088300798,7,16,gaussian
1000,0.9865771812080536,complex_gaussian,-1.0,0.6500789481390723,0.6497861467115685,0.6520382457046966,8,16,gaussian
1000,1.006711409395973,complex_gaussian,-1.0,0.6537061362893576,0.6618305637349983,0.6432796739918871,4,16,gaussian
1000,1.0268456375838926,complex_gaussian,-1.0,0.6996586665794009,0.652042801531621,0.6342629994719173,5,17,gaussian
1000,1.046979865771812,complex_gaussian,-1.0,0.6313304869635966,0.6299367803812552,0.6253445881537072,10,17,gaussian
1000,1.0671140939597314,complex_gaussian,-1.0,0.6536449220052141,0.6192393400332623,0.6158667072589323,5,17,gaussian
1000,1.087248322147651,complex_gaussian,-1.0,0.6061783909781842,0.6122790251571986,0.6068404123220161,6,18,gaussian
1000,1.1073825503355703,complex_gaussian,-1.0,0.6158421272807787,0.6073612653845908,0.5975128447099649,6,18,gaussian
1000,1.1275167785234899,complex_gaussian,-1.0,0.556176092283346,0.5763258726981441,0.5882219137225064,8,18,gaussian
1000,1.1476510067114094,complex_gaussian,-1.0,0.5527083811019808,0.5729407703283436,0.5788637345310284,6,19,gaussian
1000,1.1677852348993287,complex_gaussian,-1.0,0.640355698705282,0.563426644381689,0.5692155278086594,7,19,gaussian
1000,1.1879194630872483,complex_gaussian,-1.0,0.5947130230962695,0.5609130705422005,0.5597481547114238,8,20,gaussian
1000,1.2080536912751678,complex_gaussian,-1.0,0.5124255721649498,0.5473770668006068,0.5495033975648063,7,20,gaussian
1000,1.2281879194630871,complex_gaussian,-1.0,0.5216813056815663,0.5436697518807398,0.5395776571784434,6,21,gaussian
1000,1.2483221476510067,complex_gaussian,-1.0,0.5672849305499288,0.5437547147188249,0.5294481502964513,5,21,gaussian
