M,N,alpha,mse_x,mse_z,mx,mz,overlap_x,overlap_z,r0,replicate,tau_x,tau_z,v0,v_noise,vx,vz
10,1000,0.01,0.17681428905493898,0.947689624514633,0.8845134554985609,0.009059560929566834,0.6387155891617181,0.006761542709570943,0,0,0.9751090647942291,1,1,0.1,0.09059560929566823,0.9909404390704332
10,1000,0.01,0.049015489084560424,0.9732768380424032,0.8867157218495381,0.009060982884995794,1.3371306076724228,0.013703301329561487,0,1,0.9773255506994962,1,1,0.1,0.09060982884995811,0.9909390171150042
10,1000,0.01,0.09572334585329066,0.9238885254516,0.9045609754635195,0.009081172298154971,1.4330306319818542,0.014703768571718694,0,2,0.9953726984450689,1,1,0.1,0.09081172298154937,0.990918827701845
10,1000,0.01,0.09040941765099578,1.0092923802394789,0.9098723931370425,0.009083662455392383,0.9233440689861101,0.009662891938599517,0,3,1.0007090176909665,1,1,0.1,0.09083662455392404,0.9909163375446076
10,1000,0.01,0.13420914522866248,1.0056739985076821,0.905840318173406,0.009081928696790031,0.5098076912690495,0.005142766583165062,0,4,0.9966596051413059,1,1,0.1,0.09081928696789993,0.99091807130321
10,1000,0.01,0.14151754734766037,1.0218634643086149,0.8920511982709602,0.009068043502445833,1.3581489916971985,0.013234992620098727,0,5,0.9827316332954187,1,1,0.1,0.09068043502445843,0.9909319564975542
10,1000,0.01,0.08635884002405707,1.0508055245204837,0.9073092642512175,0.009081711464768993,1.2805750797687931,0.012759044221951834,0,6,0.9981263788989079,1,1,0.1,0.09081711464769039,0.990918288535231
10,1000,0.01,0.07963541738866717,0.9286013957932334,0.8964085794204583,0.009073531199695672,0.8291964092087861,0.00799994253026827,0,7,0.9871438914174154,1,1,0.1,0.09073531199695715,0.9909264688003043
10,1000,0.01,0.08243487127557164,1.042905627409967,0.9409152537831799,0.009107888009154963,1.1603308528930933,0.010747466425715155,0,8,1.0319941338747298,1,1,0.1,0.09107888009154999,0.990892111990845
10,1000,0.01,0.07269170792388634,0.9325661731365245,0.9057502500064941,0.009081071199878,1.4601833938343114,0.014470305009873603,0,9,0.9965609620052746,1,1,0.1,0.09081071199878042,0.990918928800122
10,1000,0.01,0.06970624426450887,0.9164620696254546,0.9047570656524814,0.009080757533262318,0.996102453532845,0.009897272023200489,0,10,0.9955646409851043,1,1,0.1,0.09080757533262293,0.9909192424667377
10,1000,0.01,0.11728473111519229,0.8754931345442069,0.8885969976615887,0.009064209187379046,0.3654739016431157,0.003848397688460524,0,11,0.9792390895353789,1,1,0.1,0.09064209187379012,0.990935790812621
10,1000,0.01,0.05166512279757982,0.9187829303336937,0.9243641547486071,0.00909365406352447,0.6696700723806873,0.006536605974820033,0,12,1.0153006953838517,1,1,0.1,0.09093654063524463,0.9909063459364755
10,1000,0.01,0.11446838982677429,0.9729853485068126,0.9026057573084801,0.009078229229362189,0.6264892259149872,0.006089172645694162,0,13,0.9933880496021018,1,1,0.1,0.09078229229362171,0.9909217707706378
10,1000,0.01,0.05221811021552718,0.9778868047925119,0.9037355978937902,0.009077876100732851,1.107184887855477,0.010417187166984903,0,14,0.9945143589011186,1,1,0.1,0.09077876100732842,0.9909221238992671
10,1000,0.01,0.07201515863089633,1.0012025561222502,0.9136947224674706,0.009085670104491683,0.3314802117150097,0.0032898882331317846,0,15,1.004551423512387,1,1,0.1,0.09085670104491632,0.9909143298955083
10,1000,0.01,0.050794480242756346,1.0324812826918655,0.9123555049849714,0.009084714031509011,0.6634637751216937,0.006748323859739411,0,16,1.0032026453000618,1,1,0.1,0.09084714031509036,0.990915285968491
10,1000,0.01,0.0834461202968623,0.9600858699366548,0.8926492239940451,0.009065183083297401,0.6719924727497641,0.006980662497465606,0,17,0.9833010548270191,1,1,0.1,0.09065183083297396,0.9909348169167026
10,1000,0.01,0.04471386185517299,0.9940895247932173,0.9093345214340758,0.009082790155540477,1.5691654325326867,0.01569049964827582,0,18,1.0001624229894805,1,1,0.1,0.09082790155540474,0.9909172098444595
10,1000,0.01,0.14521803102405534,0.9442007447112808,0.8964871632711142,0.00907209388644925,1.4507228510916041,0.015617973239590757,0,19,0.9872081021356063,1,1,0.1,0.09072093886449206,0.9909279061135507
10,1000,0.01,0.20323635891731534,0.9723866378215427,0.7676560958794261,0.007673999377666774,1.1712944912251895,0.011219008613288662,0,0,0.9978760772094283,1,1,0.3,0.23021998133000218,0.9923260006223332
10,1000,0.01,0.30127216464369927,1.0255917820086953,0.77264044766737,0.007687624244923086,0.5960127226678783,0.005959162149447609,0,1,1.0032691750150615,1,1,0.3,0.2306287273476916,0.9923123757550769
10,1000,0.01,0.05948365282487968,0.9430445065649623,0.7650391615833034,0.007669423631342154,0.8765441880250316,0.008992552350293143,0,2,0.9951218705235665,1,1,0.3,0.2300827089402631,0.9923305763686578
10,1000,0.01,0.1093947471704956,0.9932345502595533,0.786292810124421,0.007708919883293475,0.607277794078161,0.006085187963096974,0,3,1.017560406623226,1,1,0.3,0.23126759649880504,0.9922910801167065
10,1000,0.01,0.27776438591582353,0.9480649750415981,0.7727475532101238,0.00768389071919906,0.6857671006034206,0.007095917888446197,0,4,1.0032642747860945,1,1,0.3,0.23051672157597064,0.9923161092808009
10,1000,0.01,0.19484496134989815,0.9518698612307205,0.7622264219112088,0.0076642647545410725,0.4112962143965865,0.0041713899009517465,0,5,0.992154364547442,1,1,0.3,0.2299279426362332,0.9923357352454589
