A,A_dual,I,I_dual,az,likelihood_type,mz,tau_z,vz
0.1931471805599454,-0.1931471805599455,0.7257913526447273,0.22579135264472716,1.0,abs,-2.220446049250313e-16,1,1.0000000000000002
0.22579135264472744,0.0925185335390632,0.6931471805599453,0.5114570667437359,1.0,sgn,0.6366197723675813,1,0.3633802276324187
-0.8465735902799727,1.0965735902799727,1.7655121234846454,1.5155121234846454,1.0,gaussian,0.5,1,0.5
0.19814507945336507,-0.08828534072539473,0.7662479992058531,0.330653192479278,1.0909090909090908,abs,0.20140952100127896,1,0.798590478998721
0.25499828475545466,0.0986818128943745,0.7093947939037635,0.5176203460990472,1.0909090909090908,sgn,0.6484135123580201,1,0.35158648764197986
-0.8233449261108441,1.1079299063479982,1.7877380047700622,1.5268684395526708,1.0909090909090908,gaussian,0.5217391304347826,1,0.4782608695652174
0.21042007337095892,-0.0148222685198178,0.7994275507428048,0.40411626468485495,1.1818181818181819,abs,0.33101166974808494,1,0.6689883302519151
0.28473114756121876,0.10512313194229933,0.7251164765525449,0.524061665146972,1.1818181818181819,sgn,0.6597533960828768,1,0.34024660391712325
-0.7991701878656965,1.119245945441454,1.80901781197946,1.5381844786461265,1.1818181818181819,gaussian,0.5416666666666666,1,0.45833333333333337
0.22770938104851884,0.042901133450901185,0.8275927885197902,0.4618396666555739,1.2727272727272727,abs,0.4252450942133743,1,0.5747549057866257
0.3149684758892351,0.11178089138198799,0.740333693679074,0.5307194245866608,1.2727272727272727,sgn,0.6706061485690649,1,0.3293938514309351
-0.7741266396712789,1.1304902760349154,1.8294288092395878,1.5494288092395878,1.2727272727272727,gaussian,0.5599999999999999,1,0.44000000000000006
0.2487503519433828,0.09053382598084608,0.8520063630794719,0.5094723591855188,1.3636363636363638,abs,0.49761679428886896,1,0.502383205711131
0.3456877356764742,0.11860133365982145,0.7550689793463804,0.5375398668644942,1.3636363636363638,sgn,0.6809573016932335,1,0.3190426983067665
-0.7482824507933739,1.1416390941500172,1.8490391658162284,1.5605776273546899,1.3636363636363638,gaussian,0.5769230769230769,1,0.4230769230769231
0.27272356055879227,0.13101185307487018,0.8734876999186078,0.549950386279543,1.4545454545454546,abs,0.5551361937462859,1,0.44486380625371413
0.3768660781267811,0.12553881404257794,0.769345182350619,0.5444773472472507,1.4545454545454546,sgn,0.6908067267328686,1,0.3091932732671314
-0.7216980693302519,1.152674500306683,1.867909329807652,1.5716130335113556,1.4545454545454546,gaussian,0.5925925925925926,1,0.4074074074074074
0.29905628177946264,0.16611241247388053,0.8926095241524827,0.5850509456785532,1.5454545454545454,abs,0.6019830160925618,1,0.3980169839074382
0.40848089348013167,0.13255525394863393,0.7831849124518138,0.5514937871533067,1.5454545454545454,sgn,0.7001644260842849,1,0.29983557391571514
